Date,BP
01-01-2021,5833
02-01-2021,5665
03-01-2021,5318
04-01-2021,5038
05-01-2021,4973
06-01-2021,4936
07-01-2021,4903
08-01-2021,4699
09-01-2021,5028
10-01-2021,5095
11-01-2021,5289
12-01-2021,5188
13-01-2021,4802
14-01-2021,5190
15-01-2021,4847
16-01-2021,4734
17-01-2021,5036
18-01-2021,4955
19-01-2021,4759
20-01-2021,4703
21-01-2021,4870
22-01-2021,4672
23-01-2021,4635
24-01-2021,4786
25-01-2021,4586
26-01-2021,4829
27-01-2021,4896
28-01-2021,4891
29-01-2021,5004
30-01-2021,4655
31-01-2021,4795
01-02-2021,4942
02-02-2021,4618
03-02-2021,4593
04-02-2021,4756
05-02-2021,4795
06-02-2021,4415
07-02-2021,4681
08-02-2021,4598
09-02-2021,4815
10-02-2021,4809
11-02-2021,4526
12-02-2021,4863
13-02-2021,4854
14-02-2021,4910
15-02-2021,4873
16-02-2021,4966
17-02-2021,4959
18-02-2021,4994
19-02-2021,4398
20-02-2021,4804
21-02-2021,4925
22-02-2021,4454
23-02-2021,4586
24-02-2021,4739
25-02-2021,4913
26-02-2021,4920
27-02-2021,4580
28-02-2021,4498
01-03-2021,0
02-03-2021,4754
03-03-2021,4755
04-03-2021,4575
05-03-2021,4681
06-03-2021,4605
07-03-2021,4779
08-03-2021,4600
09-03-2021,4752
10-03-2021,4569
11-03-2021,4590
12-03-2021,4901
13-03-2021,4721
14-03-2021,4682
15-03-2021,0
16-03-2021,4740
17-03-2021,4734
18-03-2021,4796
19-03-2021,5007
20-03-2021,5149
21-03-2021,4959
22-03-2021,5049
23-03-2021,5067
24-03-2021,5052
25-03-2021,4912
26-03-2021,5021
27-03-2021,5131
28-03-2021,5342
29-03-2021,4861
30-03-2021,5008
31-03-2021,4984
01-04-2021,4848
02-04-2021,5001
03-04-2021,5246
04-04-2021,5412
05-04-2021,5099
06-04-2021,5109
07-04-2021,4839
08-04-2021,4890
09-04-2021,4872
10-04-2021,5080
11-04-2021,5409
12-04-2021,5193
13-04-2021,5181
14-04-2021,5144
15-04-2021,4951
16-04-2021,5109
17-04-2021,5172
18-04-2021,5161
19-04-2021,5051
20-04-2021,4873
21-04-2021,4856
22-04-2021,4819
23-04-2021,4922
24-04-2021,5047
25-04-2021,4861
26-04-2021,5094
27-04-2021,4942
28-04-2021,4883
29-04-2021,4840
30-04-2021,4938
01-05-2021,5041
02-05-2021,5165
03-05-2021,5060
04-05-2021,4928
05-05-2021,4787
06-05-2021,4910
07-05-2021,5040
08-05-2021,4872
09-05-2021,5068
10-05-2021,4826
11-05-2021,4892
12-05-2021,4850
13-05-2021,5001
14-05-2021,5505
15-05-2021,5610
16-05-2021,5487
17-05-2021,4914
18-05-2021,4820
19-05-2021,4880
20-05-2021,4714
21-05-2021,4974
22-05-2021,5096
23-05-2021,5190
24-05-2021,5063
25-05-2021,4923
26-05-2021,5011
27-05-2021,4933
28-05-2021,5191
29-05-2021,5154
30-05-2021,5181
31-05-2021,5110
01-06-2021,4964
02-06-2021,4849
03-06-2021,4297
04-06-2021,5093
05-06-2021,5156
06-06-2021,5130
07-06-2021,5117
08-06-2021,5012
09-06-2021,4893
10-06-2021,4981
11-06-2021,4966
12-06-2021,5141
13-06-2021,5057
14-06-2021,4934
15-06-2021,4958
16-06-2021,5102
17-06-2021,5065
18-06-2021,5107
19-06-2021,5190
20-06-2021,5272
21-06-2021,5087
22-06-2021,4941
23-06-2021,4922
24-06-2021,5035
25-06-2021,5029
26-06-2021,4945
27-06-2021,5244
28-06-2021,5154
29-06-2021,5137
30-06-2021,4961
01-07-2021,4989
02-07-2021,4959
03-07-2021,5004
04-07-2021,5117
05-07-2021,4859
06-07-2021,4719
07-07-2021,4793
08-07-2021,4760
09-07-2021,4886
10-07-2021,4934
11-07-2021,4994
12-07-2021,4984
13-07-2021,4938
14-07-2021,4724
15-07-2021,4610
16-07-2021,4695
17-07-2021,4753
18-07-2021,4575
19-07-2021,4602
20-07-2021,4715
21-07-2021,4766
22-07-2021,4688
23-07-2021,4676
24-07-2021,4678
25-07-2021,4338
26-07-2021,4482
27-07-2021,4456
28-07-2021,4593
29-07-2021,4623
30-07-2021,4604
31-07-2021,4544
01-08-2021,4656
02-08-2021,4628
03-08-2021,4420
04-08-2021,4534
05-08-2021,4591
06-08-2021,4648
07-08-2021,4973
08-08-2021,4789
09-08-2021,4744
10-08-2021,4726
11-08-2021,4678
12-08-2021,4471
13-08-2021,4641
14-08-2021,4829
15-08-2021,4973
16-08-2021,4905
17-08-2021,4777
18-08-2021,4772
19-08-2021,4756
20-08-2021,4747
21-08-2021,4814
22-08-2021,4922
23-08-2021,4543
24-08-2021,4675
25-08-2021,4673
26-08-2021,4698
27-08-2021,4697
28-08-2021,4823
29-08-2021,4605
30-08-2021,4789
31-08-2021,4751
01-09-2021,4692
02-09-2021,4618
03-09-2021,4742
04-09-2021,4889
05-09-2021,4873
06-09-2021,4737
07-09-2021,4763
08-09-2021,4714
09-09-2021,4782
10-09-2021,4805
11-09-2021,4917
12-09-2021,4740
13-09-2021,4654
14-09-2021,4874
15-09-2021,4974
16-09-2021,4898
17-09-2021,5010
18-09-2021,5005
19-09-2021,5151
20-09-2021,4987
21-09-2021,4893
22-09-2021,4628
23-09-2021,4942
24-09-2021,5019
25-09-2021,5257
26-09-2021,5092
27-09-2021,4992
28-09-2021,4880
29-09-2021,4869
30-09-2021,4928
01-10-2021,4990
02-10-2021,4980
03-10-2021,5243
04-10-2021,5032
05-10-2021,5060
06-10-2021,4906
07-10-2021,4731
08-10-2021,4962
09-10-2021,5022
10-10-2021,5311
11-10-2021,5073
12-10-2021,5065
13-10-2021,5038
14-10-2021,5019
15-10-2021,5094
16-10-2021,5452
17-10-2021,5494
18-10-2021,5366
19-10-2021,5495
20-10-2021,5567
21-10-2021,5224
22-10-2021,5501
23-10-2021,5544
24-10-2021,5551
25-10-2021,5354
26-10-2021,5274
27-10-2021,5288
28-10-2021,5104
29-10-2021,5396
30-10-2021,5497
31-10-2021,5398
01-11-2021,4997
